area,type,num_properties,perc_properties_area,num_advertised,sum_lien_amount,median_lien_amount,median_assessed_value,num_vacant,num_vacant_lot,num_owner_occupied,num_owner_occupied_not_vacant,perc_vacant,perc_owner_occupied_not_vacant,perc_vacant_lot,auction_year
Kenilworth Park,neighborhood,437,7.32,32,361443.10000000003,2577.565,90283.5,0,3,15,15,0,46.88,9.38,2021
Kernewood,neighborhood,223,10.31,23,150034.13999999998,4193.1,126633,4,1,8,8,17.39,34.78,4.35,2021
Keswick,neighborhood,379,1.32,5,17389.05,3207.99,266700,0,0,1,1,0,20,0,2021
Kresson,neighborhood,254,12.2,31,629010.0399999999,2031.32,74833,4,3,3,3,12.9,9.68,9.68,2021
Lake Evesham,neighborhood,211,1.42,3,9101.88,4035.88,152700,0,1,1,1,0,33.33,33.33,2021
Lake Walker,neighborhood,606,2.15,13,36416.38,3628.05,162667,1,0,8,8,7.69,61.54,0,2021
Lakeland,neighborhood,1445,6.85,99,1192456.26,1607.74,55200,15,9,17,17,15.15,17.17,9.09,2021
Langston Hughes,neighborhood,439,14.81,65,676842.98,1015.24,19667,17,2,7,7,26.15,10.77,3.08,2021
Lauraville,neighborhood,1533,4.37,67,1152011.06,3128.06,147033,4,10,26,25,5.97,37.31,14.93,2021
Levindale,neighborhood,251,11.16,28,133550.24,2492.7,94633.5,1,6,12,12,3.57,42.86,21.43,2021
Liberty Square,neighborhood,165,11.52,19,102978.9,2170,45000,5,0,3,3,26.32,15.79,0,2021
Little Italy,neighborhood,368,6.52,24,162392.92,5802.62,246900,2,1,3,3,8.33,12.5,4.17,2021
Loch Raven,neighborhood,1468,3.41,50,200908.7,2875.83,122516.5,4,0,24,23,8,46,0,2021
Locust Point,neighborhood,1548,2.2,34,306644.77,4281.985,239850,0,2,15,15,0,44.12,5.88,2021
Locust Point Industrial Area,neighborhood,235,2.55,6,470876.80000000005,22471.535,308800,0,2,0,0,0,0,33.33,2021
Lower Edmondson Village,neighborhood,232,21.55,50,1911428,4957.16,50000,18,12,7,5,36,10,24,2021
Lower Herring Run Park,neighborhood,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Loyola/Notre Dame,neighborhood,31,9.68,3,54298.630000000005,8955.09,600000,0,1,0,0,0,0,33.33,2021
Lucille Park,neighborhood,273,15.38,42,1236617.58,2209.115,30333,18,1,6,6,42.86,14.29,2.38,2021
Madison Park,neighborhood,322,19.88,64,323007.6,945.38,89167,9,2,7,7,14.06,10.94,3.12,2021
Madison-Eastend,neighborhood,919,15.02,138,1382719.82,1054.32,28633.5,63,1,12,12,45.65,8.7,0.72,2021
Mayfield,neighborhood,371,1.62,6,18816.29,2601.575,178633.5,0,0,4,4,0,66.67,0,2021
McElderry Park,neighborhood,1818,15.84,288,3304635.53,1891.13,38000,110,18,18,17,38.19,5.9,6.25,2021
Medfield,neighborhood,1255,3.67,46,1152121.59,1988.9,146700,0,9,17,17,0,36.96,19.57,2021
Medford,neighborhood,352,4.55,16,149023.58000000002,2018.885,78567,0,0,7,7,0,43.75,0,2021
Mid-Govans,neighborhood,574,8.01,46,1042432.39,2624.9849999999997,93117,10,4,18,18,21.74,39.13,8.7,2021
Mid-Town Belvedere,neighborhood,1799,8.89,160,783457.2,1161.57,188350,2,1,12,12,1.25,7.5,0.62,2021
Middle Branch/Reedbird Parks,neighborhood,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Middle East,neighborhood,1283,8.26,106,2428788.7800000003,1770,16333,45,7,4,4,42.45,3.77,6.6,2021
Midtown-Edmondson,neighborhood,1171,16.91,198,6619648.149999999,1590.645,15000,80,29,23,18,40.4,9.09,14.65,2021
Millhill,neighborhood,795,16.98,135,3182871.91,1138.4,19000,57,20,8,7,42.22,5.19,14.81,2021
Milton-Montford,neighborhood,807,14.87,120,2149397.33,1108.22,28000,49,21,8,6,40.83,5,17.5,2021
Mondawmin,neighborhood,1389,21.6,300,12282841.35,1911.1100000000001,8000,148,51,18,16,49.33,5.33,17,2021
Montebello,neighborhood,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Moravia-Walther,neighborhood,421,3.09,13,22413.66,1660,155067,1,0,4,4,7.69,30.77,0,2021
Morgan Park,neighborhood,147,6.8,10,22676.25,1901.045,149083.5,0,4,5,5,0,50,40,2021
Morgan State University,neighborhood,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Morrell Park,neighborhood,1941,7.83,152,2981840.15,1635.02,50100,24,19,39,37,15.79,24.34,12.5,2021
Mosher,neighborhood,888,19.37,172,12723432.15,2811.6,9000,81,26,16,14,47.09,8.14,15.12,2021
Mount Holly,neighborhood,423,15.37,65,4231702.23,3946.38,111667,19,9,14,14,29.23,21.54,13.85,2021
Mount Vernon,neighborhood,1238,20.27,251,1206693.39,657.12,27400,1,0,12,12,0.4,4.78,0,2021
